folder,file,bytes,duration_seconds,sample_rate_hz,frames,id3v2,status,sha256
speech,voice_1000_points.mp3,31276,0.914,44100,35,True,PASS,1c14a86f2b29025fe17dec9d1d0f15e8e97e968a05a96715bf1814511646bef3
speech,voice_100_points.mp3,32948,1.019,44100,39,True,PASS,44b9ca7fa2ee1f88896b0d6459171cdcb493efbffc917a771eef8b17ff93c452
speech,voice_1500_points.mp3,37128,1.28,44100,49,True,PASS,a29d48615baf90d1a28f56073b0a385c6ca5415ece5aeadfdc7ba327d725cac2
speech,voice_2000_points.mp3,35038,1.149,44100,44,True,PASS,d3542fe674092b780452260b6496dff7a5fed287695c691cd78ed80e99c664ad
speech,voice_200_points.mp3,35874,1.202,44100,46,True,PASS,9d901362221e23fb282d8ed3e83787c60327ae6ab8f8fe72755f157d9060ccde
speech,voice_250_points.mp3,37963,1.332,44100,51,True,PASS,bb56287f5d029e5af1a3819d2fa74408c134554bafacdbad13d314a7314059e5
speech,voice_300_points.mp3,35874,1.202,44100,46,True,PASS,83061b3c6ea5c95c5f6b754591b906eaf993258bb22272e9aabd8d7a02f93b84
speech,voice_400_points.mp3,35874,1.202,44100,46,True,PASS,fcc61dd6cad92931b27599da7569353160251143b0d47cccfabf12c207b9cf70
speech,voice_500_points.mp3,35874,1.202,44100,46,True,PASS,00271a0e115808d61144ea7323fbfe7fb6a9156f71e08478c2c5ec4512665a05
speech,voice_750_points.mp3,40471,1.489,44100,57,True,PASS,dc13bf22d47c1b126ac41273333c30434cca47a9fb10b195ef05cba82a772a5d
speech,voice_already_selected.mp3,43815,1.698,44100,65,True,PASS,949081847a35ca406573404d1c3bc83754a07d03c88122926ac903d65ff94af8
speech,voice_bankrupt.mp3,39635,1.437,44100,55,True,PASS,2021aa2b4bceebc70073c0ccfa6f9ee869f8e5ccf1e2508d2a35ec4964aa4d67
speech,voice_buy_vowel.mp3,41725,1.567,44100,60,True,PASS,40bc181de4995de563b42929b69cb35ee251ed70137417cfb47fafbc8589aa34
speech,voice_check_letter.mp3,41725,1.567,44100,60,True,PASS,650f4839e7572984dad5c247eab583f0869555a4f717c33648c6a26fee716e70
